,movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
1,Pinocchio,1940-02-09,Adventure,G,84300000.0,2188229052.0
2,Fantasia,1940-11-13,Musical,G,83320000.0,2187090808.0
4,Cinderella,1950-02-15,Drama,G,85000000.0,920608730.0
5,Lady and the Tramp,1955-06-22,Drama,G,93600000.0,1236035515.0
6,101 Dalmatians,1961-01-25,Comedy,G,153000000.0,1362870985.0
8,Bon Voyage!,1962-05-17,Comedy,Not Rated,9230769.0,109581646.0
9,The Jungle Book,1967-10-18,Musical,Not Rated,141843000.0,789612346.0
10,The Aristocats,1970-04-24,Musical,G,55675257.0,255161499.0
11,Splash,1984-03-09,Comedy,PG,62599495.0,157057661.0
12,Down and Out in Beverly Hills,1986-01-31,Comedy,R,62134225.0,141183693.0
13,Ruthless People,1986-06-27,Comedy,R,71624879.0,162748712.0
14,The Color of Money,1986-10-17,Drama,R,52293000.0,117957323.0
15,Outrageous Fortune,1987-01-30,Comedy,R,52864741.0,113976921.0
16,Stakeout,1987-08-05,Comedy,R,65673233.0,141592160.0
17,3 Men and a Baby,1987-11-25,Comedy,PG,167780960.0,353334607.0
18,Good Morning Vietnam,1987-12-23,Comedy,R,123922370.0,254414837.0
19,Return to Snowy River,1988-04-15,Adventure,PG,13687027.0,28073384.0
20,Big Business,1988-06-10,Comedy,PG,40150487.0,82352451.0
21,Who Framed Roger Rabbit?,1988-06-22,Comedy,PG,154112492.0,316250084.0
22,Cocktail,1988-07-29,Drama,R,78222753.0,160442289.0
23,Ernest Saves Christmas,1988-11-11,Comedy,PG,28202109.0,57845202.0
24,Oliver & Company,1988-11-18,Adventure,G,49576671.0,102254492.0
25,Beaches,1988-12-21,Drama,PG-13,57041866.0,120381757.0
26,Three Fugitives,1989-01-27,Comedy,PG-13,40590000.0,85757817.0
27,New York Stories,1989-03-01,Drama,PG,10763469.0,22740861.0
28,Dead Poets Society,1989-06-02,Drama,PG,95860116.0,202531517.0
